x;y
0.0;0.007392820923657282
1.0;0.20217688259893532
2.0;0.3891914000580383
3.0;0.5612495102739629
4.0;0.7117391165624098
5.0;0.8348769877492583
6.0;0.9259310045013125
7.0;0.9814020120184701
8.0;0.9991582905903469
9.0;0.9785174763892616
10.0;0.9202727843294598
11.0;0.8266625252627986
12.0;0.7012840889479743
13.0;0.5489556983795274
14.0;0.37553124818025785
15.0;0.18767534271377134
16.0;-0.007392820923660892
17.0;-0.20217688259893854
18.0;-0.38919140005804087
19.0;-0.5612495102739643
20.0;-0.7117391165624111
21.0;-0.8348769877492594
22.0;-0.9259310045013152
23.0;-0.9814020120184701
24.0;-0.9991582905903469
25.0;-0.9785174763892616
26.0;-0.920272784329457
27.0;-0.8266625252628006
28.0;-0.7012840889479717
29.0;-0.5489556983795302
30.0;-0.3755312481802547
31.0;-0.18767534271377473
32.0;0.007392820923664502
33.0;0.20217688259894906
34.0;0.38919140005804437
35.0;0.5612495102739732
36.0;0.7117391165624136
37.0;0.8348769877492654
38.0;0.9259310045013138
39.0;0.9814020120184721
40.0;0.9991582905903469
41.0;0.9785174763892595
42.0;0.9202727843294584
43.0;0.8266625252628025
44.0;0.7012840889479643
45.0;0.5489556983795213
46.0;0.3755312481802579
47.0;0.18767534271377773
48.0;-0.007392820923675212
49.0;-0.20217688259894517
50.0;-0.38919140005804115
51.0;-0.5612495102739821
52.0;-0.7117391165624214
53.0;-0.8348769877492634
54.0;-0.9259310045013125
55.0;-0.9814020120184742
56.0;-0.9991582905903468
57.0;-0.9785174763892601
58.0;-0.9202727843294598
59.0;-0.8266625252627884
60.0;-0.7012840889479668
61.0;-0.5489556983795243
62.0;-0.3755312481802612
63.0;-0.18767534271375327
